p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	aln	tcas	D.Symbol	D.Name	tcas_name	seqnames	start	end	width	strand	product	Chrom
TcasGA2-TC0333981	2.83040589030168e-273	0.842099933161174	0.659	0.188	2.99655071606238e-269	3	TcasGA2-TC033398	TcasGA2_TC033398	gnl|WGS:AAJJ|TC033398-PA	CG7639	uncharacterized protein Dmel_CG7639	TcasGA2-TC033398	CM000281.3	3101771	3105374	3604	-	SAM50-like protein CG7639	6
TcasGA2-TC0024331	9.6265032827409e-273	0.858448414411111	0.968	0.377	1.01915790254378e-268	3	TcasGA2-TC002433	TcasGA2_TC002433	gnl|WGS:AAJJ|TC002433-PA	Chchd3	Coiled-coil-helix-coiled-coil-helix domain containing 3	TcasGA2-TC002433	CM000278.3	28972287	28973316	1030	+	hypothetical protein	3
TcasGA2-TC0101701	4.30526941289218e-272	0.857603556335798	0.922	0.352	4.55798872742895e-268	3	TcasGA2-TC010170	TcasGA2_TC010170	gnl|WGS:AAJJ|TC010170-PA	nmdyn-D7	nmdyn-D7	TcasGA2-TC010170	CM000282.3	13657853	13662141	4289	-	Nucleoside diphosphate kinase 7-like Protein	7
TcasGA2-TC0072961	1.76669336222853e-269	0.909304695809255	0.598	0.158	1.87039826259134e-265	3	TcasGA2-TC007296	TcasGA2_TC007296	gnl|WGS:AAJJ|TC007296-PA	Caf1-180	chromatin assembly factor 1, p180 subunit	TcasGA2-TC007296	CM000279.2	6434658	6439337	4680	-	hypothetical protein	4
TcasGA2-TC0052151	2.12820147753513e-267	0.761146959263534	0.931	0.355	2.25312690426644e-263	3	TcasGA2-TC005215	TcasGA2_TC005215	gnl|WGS:AAJJ|TC005215-PA	CG13585	uncharacterized protein Dmel_CG13585, isoform C	TcasGA2-TC005215	CM000284.3	1790823	1796566	5744	-	Small integral membrane protein 14-like Protein	9
TcasGA2-TC0044921	2.26596687124353e-266	1.09696419599025	0.998	0.536	2.39897912658552e-262	3	TcasGA2-TC004492	TcasGA2_TC004492	gnl|WGS:AAJJ|TC004492-PA	CG9646	uncharacterized protein Dmel_CG9646, isoform A	TcasGA2-TC004492	CM000277.3	3795766	3797538	1773	-	hypothetical protein	2
TcasGA2-TC0076431	4.4812228460892e-266	0.847723379616157	0.947	0.377	4.74427062715463e-262	3	TcasGA2-TC007643	TcasGA2_TC007643	gnl|WGS:AAJJ|TC007643-PA	Mdh2	malate dehydrogenase 2	TcasGA2-TC007643	CM000279.2	1810392	1812881	2490	-	putative malate dehydrogenase, mitochondrial-like Protein	4
TcasGA2-TC0081221	5.2306584274226e-265	0.811805183300977	0.893	0.333	5.53769807711231e-261	3	TcasGA2-TC008122	TcasGA2_TC008122	gnl|WGS:AAJJ|TC008122-PA	stas	stasimon, isoform A	TcasGA2-TC008122	CM000279.2	5326236	5329230	2995	+	Transmembrane protein 41 homolog-like Protein	4
TcasGA2-TC0113841	6.28665976174428e-262	0.998072389984523	0.994	0.441	6.65568668975867e-258	3	TcasGA2-TC011384	TcasGA2_TC011384	gnl|WGS:AAJJ|TC011384-PA	wda	will decrease acetylation	TcasGA2-TC011384	KQ971410.1	540343	541663	1321	+	hypothetical protein	NA
TcasGA2-TC0025281	1.21001449146725e-261	0.764297950733904	0.834	0.301	1.28104234211638e-257	3	TcasGA2-TC002528	TcasGA2_TC002528	gnl|WGS:AAJJ|TC002528-PA	CG11041	uncharacterized protein Dmel_CG11041	TcasGA2-TC002528	CM000278.3	25647098	25647915	818	-	Calmodulin-like Protein	3
TcasGA2-TC0070431	2.06573917692806e-261	0.832547794372556	0.896	0.337	2.18699806661374e-257	3	TcasGA2-TC007043	TcasGA2_TC007043	gnl|WGS:AAJJ|TC007043-PA	heph	hephaestus, isoform Y	TcasGA2-TC007043	CM000279.2	10846167	10849652	3486	-	hypothetical protein	4
TcasGA2-TC0146201	2.8758169654042e-261	0.828331904624136	0.896	0.336	3.04462742127342e-257	3	TcasGA2-TC014620	TcasGA2_TC014620	gnl|WGS:AAJJ|TC014620-PA	Axs	abnormal X segregation	TcasGA2-TC014620	CM000280.3	12498931	12508128	9198	+	abnormal X segregation	5
TcasGA2-TC0336711	2.49414633342633e-260	1.02438643012851	1	0.634	2.64055272319846e-256	3	TcasGA2-TC033671	TcasGA2_TC033671	gnl|WGS:AAJJ|TC033671-PA	Jupiter	jupiter, isoform I	TcasGA2-TC033671	CM000282.3	6947737	6992885	45149	-	hypothetical protein	7
TcasGA2-TC0325951	6.65837900459808e-259	0.666218825721611	0.815	0.281	7.04922585216798e-255	3	TcasGA2-TC032595	TcasGA2_TC032595	gnl|WGS:AAJJ|TC032595-PA	Pdh	photoreceptor dehydrogenase, isoform A	TcasGA2-TC032595	CM000278.3	25010322	25011491	1170	+	Fat body protein 2-like Protein	3
TcasGA2-TC0145501	3.94858216795565e-258	0.826002684607159	0.894	0.332	4.18036394121465e-254	3	TcasGA2-TC014550	TcasGA2_TC014550	gnl|WGS:AAJJ|TC014550-PA	Trc8	TRC8 ring finger protein, isoform E	TcasGA2-TC014550	CM000280.3	11519481	11520658	1178	+	hypothetical protein	5
TcasGA2-TC0059211	1.28562862028673e-257	1.10246913047412	0.991	0.469	1.36109502029756e-253	3	TcasGA2-TC005921	TcasGA2_TC005921	gnl|WGS:AAJJ|TC005921-PA	CG11125	uncharacterized protein Dmel_CG11125, isoform C	TcasGA2-TC005921	CM000283.3	5539285	5540499	1215	-	hypothetical protein	8
TcasGA2-TC0103781	2.26436487395254e-257	0.762977480400666	0.934	0.363	2.39728309205355e-253	3	TcasGA2-TC010378	TcasGA2_TC010378	gnl|WGS:AAJJ|TC010378-PA	Naa60	N(alpha)-acetyltransferase 60, isoform B	TcasGA2-TC010378	CM000278.3	24941203	24943140	1938	+	N-alpha-acetyltransferase 60-like Protein	3
TcasGA2-TC0330691	2.98371416213737e-257	0.846792156263256	0.645	0.191	3.15885818345483e-253	3	TcasGA2-TC033069	TcasGA2_TC033069	gnl|WGS:AAJJ|TC033069-PA	Nmda1	N-methyl-D-aspartate receptor-associated protein, isoform C	TcasGA2-TC033069	CM000280.3	5266520	5268442	1923	+	Protein lifeguard 2-like Protein	5
TcasGA2-TC0104731	1.18014257135752e-256	0.720526143593251	0.84	0.298	1.2494169402962e-252	3	TcasGA2-TC010473	TcasGA2_TC010473	gnl|WGS:AAJJ|TC010473-PA	CG16984	uncharacterized protein Dmel_CG16984	TcasGA2-TC010473	KQ972204.1	304975	310019	5045	-	Enkurin-like Protein	NA
TcasGA2-TC0334351	1.67507611230235e-255	0.824012627689447	0.609	0.169	1.7734030800945e-251	3	TcasGA2-TC033435	TcasGA2_TC033435	gnl|WGS:AAJJ|TC033435-PA	CG40006	uncharacterized protein Dmel_CG40006	TcasGA2-TC033435	CM000281.3	7505009	7577764	72756	-	Protein croquemort-like Protein	6
TcasGA2-TC0136921	9.59270209599322e-255	0.708800392425972	0.778	0.261	1.0155793709028e-250	3	TcasGA2-TC013692	TcasGA2_TC013692	gnl|WGS:AAJJ|TC013692-PA	Tap42	Two A-associated protein of 42kDa	TcasGA2-TC013692	CM000280.3	5938534	5939782	1249	-	Immunoglobulin-binding protein 1-like Protein	5
TcasGA2-TC0082371	1.85170523979273e-254	0.719894340884246	0.845	0.305	1.96040033736857e-250	3	TcasGA2-TC008237	TcasGA2_TC008237	gnl|WGS:AAJJ|TC008237-PA	Fer1HCH	ferritin 1 heavy chain homologue, isoform J	TcasGA2-TC008237	CM000279.2	7114535	7115499	965	+	Soma ferritin-like Protein	4
TcasGA2-TC0137801	8.32408361546053e-254	0.823496167974706	0.644	0.19	8.81270732368807e-250	3	TcasGA2-TC013780	TcasGA2_TC013780	gnl|WGS:AAJJ|TC013780-PA	CG2200	uncharacterized protein Dmel_CG2200, isoform B	TcasGA2-TC013780	CM000280.3	4229742	4230919	1178	-	putative alpha-aspartyl dipeptidase-like Protein	5
TcasGA2-TC0347541	1.56304922689776e-252	1.08616529758644	0.996	0.492	1.65480021651666e-248	3	TcasGA2-TC034754	TcasGA2_TC034754	gnl|WGS:AAJJ|TC034754-PA	sli	slit, isoform F	TcasGA2-TC034754	CM000282.3	482826	484375	1550	-	hypothetical protein	7
TcasGA2-TC008913	1.73581602792369e-252	0.769759012821261	0.684	0.209	1.83770842876281e-248	3	TcasGA2-TC008913	TcasGA2_TC008913	gnl|WGS:AAJJ|TC008913-PA	CG45263	uncharacterized protein Dmel_CG45263, isoform E	TcasGA2-TC008913	CM000282.3	11750563	11752292	1730	+	hypothetical protein	7
TcasGA2-TC0015291	3.38660299348052e-252	0.882094661527662	0.973	0.404	3.58539658919783e-248	3	TcasGA2-TC001529	TcasGA2_TC001529	gnl|WGS:AAJJ|TC001529-PA	Doa	darkener of apricot, isoform P	TcasGA2-TC001529	CM000285.3	3031193	3035387	4195	-	Serine/threonine-protein kinase Doa-like Protein	10
TcasGA2-TC0071311	5.81002713772094e-252	0.982351110704691	0.987	0.452	6.15107573070516e-248	3	TcasGA2-TC007131	TcasGA2_TC007131	gnl|WGS:AAJJ|TC007131-PA	clos	closca	TcasGA2-TC007131	CM000279.2	8906416	8919468	13053	-	hypothetical protein	4
TcasGA2-TC0333621	1.74409308630426e-251	0.756228447491519	0.786	0.27	1.84647135047032e-247	3	TcasGA2-TC033362	TcasGA2_TC033362	gnl|WGS:AAJJ|TC033362-PA	Usp2	ubiquitin specific protease 2, isoform A	TcasGA2-TC033362	CM000281.3	2056023	2066683	10661	-	hypothetical protein	6
TcasGA2-TC032800	6.31406302791463e-251	0.783246510289101	0.795	0.283	6.68469852765321e-247	3	TcasGA2-TC032800	TcasGA2_TC032800	gnl|WGS:AAJJ|TC032800-PA	gro	groucho, isoform J	TcasGA2-TC032800	CM000279.2	4063386	4066090	2705	+	hypothetical protein	4
TcasGA2-TC0137001	2.3987878920479e-250	1.04922392764394	0.921	0.367	2.53959674131111e-246	3	TcasGA2-TC013700	TcasGA2_TC013700	gnl|WGS:AAJJ|TC013700-PA	Alh	alhambra, isoform K	TcasGA2-TC013700	CM000280.3	5733683	5734843	1161	-	hypothetical protein	5
TcasGA2-TC0040001	3.55315008857584e-250	1.03521020933155	1	0.575	3.76171999877525e-246	3	TcasGA2-TC004000	TcasGA2_TC004000	gnl|WGS:AAJJ|TC004000-PA	S-Lap1	Sperm-Leucylaminopeptidase 1	TcasGA2-TC004000	CM000278.3	28793275	28798026	4752	-	Cytosol aminopeptidase-like Protein	3
TcasGA2-TC0035141	9.31301563530574e-250	1.00995334838439	0.996	0.443	9.85968965309819e-246	3	TcasGA2-TC003514	TcasGA2_TC003514	gnl|WGS:AAJJ|TC003514-PA	brp	bruchpilot, isoform J	TcasGA2-TC003514	CM000278.3	6157870	6159805	1936	+	hypothetical protein	3
TcasGA2-TC0105131	1.71948612940274e-249	0.929342566485447	0.986	0.456	1.82041996519868e-245	3	TcasGA2-TC010513	TcasGA2_TC010513	gnl|WGS:AAJJ|TC010513-PA	Dlc90F	dynein light chain 90F	TcasGA2-TC010513	CM000278.3	14896566	14897092	527	-	Dynein light chain Tctex-type-like Protein	3
TcasGA2-TC0326131	8.14514857467746e-249	0.823301866335989	0.95	0.379	8.62326879601102e-245	3	TcasGA2-TC032613	TcasGA2_TC032613	gnl|WGS:AAJJ|TC032613-PA	Muc11A	mucin 11A	TcasGA2-TC032613	CM000278.3	20339801	20341877	2077	-	hypothetical protein	3
TcasGA2-TC0334371	1.08121861091041e-247	1.00866811981923	1	0.679	1.14468614337085e-243	3	TcasGA2-TC033437	TcasGA2_TC033437	gnl|WGS:AAJJ|TC033437-PA	ctp	cut up, isoform F	TcasGA2-TC033437	CM000281.3	7750067	7757451	7385	+	Dynein light chain 1, cytoplasmic-like Protein	6
TcasGA2-TC008020	1.88491682802861e-246	0.766755384829825	0.564	0.153	1.99556144583389e-242	3	TcasGA2-TC008020	TcasGA2_TC008020	gnl|WGS:AAJJ|TC008020-PA	Eps-15	epidermal growth factor receptor pathway substrate clone 15, isoform B	TcasGA2-TC008020	CM000279.2	3999166	4001357	2192	+	hypothetical protein	4
TcasGA2-TC0042421	6.21660422652388e-246	0.996165709232552	0.981	0.427	6.58151889462083e-242	3	TcasGA2-TC004242	TcasGA2_TC004242	gnl|WGS:AAJJ|TC004242-PA	CG42672	uncharacterized protein Dmel_CG42672, isoform L	TcasGA2-TC004242	KQ972797.1	39133	56641	17509	+	hypothetical protein	NA
TcasGA2-TC0067031	1.09094665343685e-244	0.989790208253842	0.999	0.449	1.15498522199359e-240	3	TcasGA2-TC006703	TcasGA2_TC006703	gnl|WGS:AAJJ|TC006703-PA	Bsg25D	Blastoderm-specific gene 25D, isoform C	TcasGA2-TC006703	CM000283.3	13080287	13082097	1811	+	hypothetical protein	8
TcasGA2-TC0104571	5.35282041125837e-244	0.675377965782356	0.649	0.197	5.66703096939923e-240	3	TcasGA2-TC010457	TcasGA2_TC010457	gnl|WGS:AAJJ|TC010457-PA	CG13807	uncharacterized protein Dmel_CG13807	TcasGA2-TC010457	CM000280.3	7543418	7543687	270	+	hypothetical protein	5
TcasGA2-TC0048721	2.50987190985433e-243	0.430713987877251	0.762	0.252	2.65720139096278e-239	3	TcasGA2-TC004872	TcasGA2_TC004872	gnl|WGS:AAJJ|TC004872-PA	ATPsynE	ATP synthase, subunit E, isoform C	TcasGA2-TC004872	CM000277.3	3594779	3595193	415	+	hypothetical protein	2
TcasGA2-TC0159901	2.09519393658736e-242	0.739577534739559	0.616	0.179	2.21818182066504e-238	3	TcasGA2-TC015990	TcasGA2_TC015990	gnl|WGS:AAJJ|TC015990-PA	CG9853	uncharacterized protein Dmel_CG9853, isoform B	TcasGA2-TC015990	CM000283.3	137490	144914	7425	+	Golgi to ER traffic protein 4 homolog-like Protein	8
TcasGA2-TC0024721	1.58177590007517e-241	0.806949156130749	0.977	0.396	1.67462614540958e-237	3	TcasGA2-TC002472	TcasGA2_TC002472	gnl|WGS:AAJJ|TC002472-PA	Unr	upstream of N-ras, isoform C	TcasGA2-TC002472	CM000278.3	27786741	27818315	31575	-	Cold shock domain-containing protein E1-like Protein	3
TcasGA2-TC0317491	2.28327864465689e-241	0.951372427467942	0.988	0.435	2.41730710109825e-237	3	TcasGA2-TC031749	TcasGA2_TC031749	gnl|WGS:AAJJ|TC031749-PA	seq	lysine (K)-specific demethylase 4B, isoform B	TcasGA2-TC031749	KQ973453.1	51347	56565	5219	-	hypothetical protein	NA
TcasGA2-TC003410	1.88284562749709e-240	0.749877956882139	0.774	0.267	1.99336866583116e-236	3	TcasGA2-TC003410	TcasGA2_TC003410	gnl|WGS:AAJJ|TC003410-PA	ssp7	short spindle 7	TcasGA2-TC003410	CM000278.3	4542866	4546296	3431	+	hypothetical protein	3
TcasGA2-TC0149981	6.58343244958131e-240	0.755637717505938	0.903	0.358	6.96987993437174e-236	3	TcasGA2-TC014998	TcasGA2_TC014998	gnl|WGS:AAJJ|TC014998-PA	Ald1	aldolase 1, isoform E	TcasGA2-TC014998	CM000281.3	4886624	4893334	6711	+	Fructose-bisphosphate aldolase-like Protein	6
TcasGA2-TC0077321	6.85445325408965e-240	0.77062941651448	0.801	0.285	7.25680966010471e-236	3	TcasGA2-TC007732	TcasGA2_TC007732	gnl|WGS:AAJJ|TC007732-PA	Ts	thymidylate synthase, isoform B	TcasGA2-TC007732	CM000279.2	287699	288950	1252	+	Thymidylate synthase-like Protein	4
TcasGA2-TC006634	1.64823543765069e-238	0.756126903420872	0.421	0.091	1.74498685784079e-234	3	TcasGA2-TC006634	TcasGA2_TC006634	gnl|WGS:AAJJ|TC006634-PA	dmGlut	dietary and metabolic glutamate transporter	TcasGA2-TC006634	CM000283.3	12164301	12167385	3085	+	Putative inorganic phosphate cotransporter-like Protein	8
TcasGA2-TC0326861	6.527281366586e-237	1.03993914658666	0.997	0.544	6.9104327828046e-233	3	TcasGA2-TC032686	TcasGA2_TC032686	gnl|WGS:AAJJ|TC032686-PA	Mical	molecule interacting with CasL, isoform P	TcasGA2-TC032686	CM000278.3	30473020	30538653	65634	-	Protein-methionine sulfoxide oxidase Mical-like Protein	3
TcasGA2-TC0157111	1.91866052659086e-236	0.592331849496286	0.821	0.297	2.03128589950174e-232	3	TcasGA2-TC015711	TcasGA2_TC015711	gnl|WGS:AAJJ|TC015711-PA	eIF4H1	eukaryotic translation initiation factor 4H1, isoform E	TcasGA2-TC015711	CM000281.3	5697352	5700926	3575	+	hypothetical protein	6
TcasGA2-TC0073491	6.76699823877884e-236	0.769470302569964	0.94	0.385	7.16422103539516e-232	3	TcasGA2-TC007349	TcasGA2_TC007349	gnl|WGS:AAJJ|TC007349-PA	CG8646	uncharacterized protein Dmel_CG8646	TcasGA2-TC007349	CM000279.2	5810039	5812116	2078	-	Arylsulfatase I-like Protein	4
TcasGA2-TC012576	3.97944020817142e-235	0.657710451012201	0.747	0.254	4.21303334839108e-231	3	TcasGA2-TC012576	TcasGA2_TC012576	gnl|WGS:AAJJ|TC012576-PA	CkIalpha	casein kinase ialpha, isoform D	TcasGA2-TC012576	CM000284.3	11634908	11644864	9957	+	Casein kinase I isoform alpha-like Protein	9
TcasGA2-TC0318371	1.291915204627e-234	1.02249164435052	0.996	0.486	1.3677506271386e-230	3	TcasGA2-TC031837	TcasGA2_TC031837	gnl|WGS:AAJJ|TC031837-PA	ana3	anastral spindle 3	TcasGA2-TC031837	CM000280.3	7140590	7141020	431	+	hypothetical protein	5
TcasGA2-TC0138861	2.19188877300967e-232	0.866731425472056	0.993	0.448	2.32055264398534e-228	3	TcasGA2-TC013886	TcasGA2_TC013886	gnl|WGS:AAJJ|TC013886-PA	CG42529	uncharacterized protein Dmel_CG42529	TcasGA2-TC013886	CM000280.3	2204577	2205855	1279	+	hypothetical protein	5
TcasGA2-TC0346321	5.01479901944806e-232	0.852395733307594	0.978	0.415	5.30916772188966e-228	3	TcasGA2-TC034632	TcasGA2_TC034632	gnl|WGS:AAJJ|TC034632-PA	insc	inscuteable	TcasGA2-TC034632	CM000278.3	26281379	26285476	4098	-	hypothetical protein	3
TcasGA2-TC0348181	2.25357245521234e-229	0.734175371212284	0.978	0.419	2.38585715833331e-225	3	TcasGA2-TC034818	TcasGA2_TC034818	gnl|WGS:AAJJ|TC034818-PA	Rab7	Rab7, isoform B	TcasGA2-TC034818	CM000283.3	2592919	2596366	3448	-	Ras-related protein Rab6-like protein	8
TcasGA2-TC0130811	9.29943147202554e-228	0.544643617448697	0.881	0.343	9.84530809943344e-224	3	TcasGA2-TC013081	TcasGA2_TC013081	gnl|WGS:AAJJ|TC013081-PA	CG11267	uncharacterized protein Dmel_CG11267	TcasGA2-TC013081	CM000280.3	14257118	14258407	1290	-	10 kDa heat shock protein, mitochondrial-like Protein	5
TcasGA2-TC0113561	9.70993736693552e-227	0.736824365881271	0.732	0.248	1.02799106903746e-222	3	TcasGA2-TC011356	TcasGA2_TC011356	gnl|WGS:AAJJ|TC011356-PA	ERp60	endoplasmic reticulum p60	TcasGA2-TC011356	CM000285.3	4295589	4297188	1600	+	Protein disulfide-isomerase-like Protein	10
TcasGA2-TC0056701	1.31232879414701e-225	0.768576754028673	0.692	0.23	1.38936249436344e-221	3	TcasGA2-TC005670	TcasGA2_TC005670	gnl|WGS:AAJJ|TC005670-PA	slow	slowdown, isoform A	TcasGA2-TC005670	CM000283.3	9834183	9860399	26217	-	Neurogenic locus protein delta-like Protein	8
TcasGA2-TC0344211	3.51717633341071e-224	0.646514522953159	0.931	0.378	3.72363458418192e-220	3	TcasGA2-TC034421	TcasGA2_TC034421	gnl|WGS:AAJJ|TC034421-PA	Tsp42Ed	tetraspanin 42Ed, isoform B	TcasGA2-TC034421	CM000284.3	12446047	12456019	9973	+	Tetraspanin-7-like Protein	9
TcasGA2-TC0083901	7.19438208348354e-224	0.675092404641361	0.939	0.393	7.61669231178403e-220	3	TcasGA2-TC008390	TcasGA2_TC008390	gnl|WGS:AAJJ|TC008390-PA	CG8813	uncharacterized protein Dmel_CG8813	TcasGA2-TC008390	CM000279.2	9646243	9648450	2208	+	hypothetical protein	4
TcasGA2-TC014317	2.07793269037338e-223	0.577485622729759	0.604	0.179	2.19990733929829e-219	3	TcasGA2-TC014317	TcasGA2_TC014317	gnl|WGS:AAJJ|TC014317-PA	CG10561	uncharacterized protein Dmel_CG10561	TcasGA2-TC014317	CM000280.3	9022561	9024495	1935	+	Protein anon-37Cs-like Protein	5
TcasGA2-TC0002561	2.54411680346831e-222	0.991027667613576	1	0.538	2.6934564598319e-218	3	TcasGA2-TC000256	TcasGA2_TC000256	gnl|WGS:AAJJ|TC000256-PA	ACXE	adenylyl cyclase X E	TcasGA2-TC000256	CM000277.3	13994799	13995468	670	-	hypothetical protein	2
TcasGA2-TC0097211	3.73371184205093e-222	0.637290173696108	0.91	0.367	3.95288072717932e-218	3	TcasGA2-TC009721	TcasGA2_TC009721	gnl|WGS:AAJJ|TC009721-PA	Eb1	Eb1, isoform E	TcasGA2-TC009721	CM000282.3	4892348	4896376	4029	+	Microtubule-associated protein RP/EB family member 1-like Protein	7
TcasGA2-TC0331281	1.44001577966498e-221	0.984134627223896	0.998	0.556	1.52454470593132e-217	3	TcasGA2-TC033128	TcasGA2_TC033128	gnl|WGS:AAJJ|TC033128-PA	Ttc19	tetratricopeptide repeat domain 19	TcasGA2-TC033128	CM000280.3	9029821	9031785	1965	+	Tetratricopeptide repeat protein 19 homolog, mitochondrial-like Protein	5
TcasGA2-TC0066711	1.91196036096903e-221	0.63934840401913	0.681	0.228	2.02419243415791e-217	3	TcasGA2-TC006671	TcasGA2_TC006671	gnl|WGS:AAJJ|TC006671-PA	CG7573	uncharacterized protein Dmel_CG7573	TcasGA2-TC006671	CM000283.3	12727766	12728172	407	+	hypothetical protein	8
TcasGA2-TC008958	4.6263177840246e-221	0.639172963973301	0.678	0.22	4.89788263794684e-217	3	TcasGA2-TC008958	TcasGA2_TC008958	gnl|WGS:AAJJ|TC008958-PA	ReepB	receptor expression enhancing protein B, isoform D	TcasGA2-TC008958	CM000282.3	12706863	12708190	1328	+	Receptor expression-enhancing protein 5-like Protein	7
TcasGA2-TC0147601	6.67631593434568e-221	0.664657801308282	0.82	0.31	7.06821567969177e-217	3	TcasGA2-TC014760	TcasGA2_TC014760	gnl|WGS:AAJJ|TC014760-PA	CG10616	uncharacterized protein Dmel_CG10616, isoform C	TcasGA2-TC014760	CM000280.3	14746127	14747833	1707	+	Protein odr-4 homolog-like Protein	5
TcasGA2-TC007293	1.4987382903977e-219	0.761534242459506	0.41	0.093	1.58671422804405e-215	3	TcasGA2-TC007293	TcasGA2_TC007293	gnl|WGS:AAJJ|TC007293-PA	Cad86C	cadherin 86C, isoform E	TcasGA2-TC007293	CM000279.2	6468620	6469797	1178	-	hypothetical protein	4
TcasGA2-TC0026741	2.15983911431694e-219	0.706645895679217	0.728	0.25	2.28662167032735e-215	3	TcasGA2-TC002674	TcasGA2_TC002674	gnl|WGS:AAJJ|TC002674-PA	Atg16	Autophagy-related 16, isoform F	TcasGA2-TC002674	CM000278.3	18002588	18011613	9026	+	Autophagy-related protein 16-1-like Protein	3
TcasGA2-TC0321201	8.03832078404428e-219	0.725666008527646	0.953	0.418	8.51017021406768e-215	3	TcasGA2-TC032120	TcasGA2_TC032120	gnl|WGS:AAJJ|TC032120-PA	pum	pumilio, isoform F	TcasGA2-TC032120	CM000277.3	9003576	9004488	913	-	hypothetical protein	2
TcasGA2-TC0092511	9.82241470530529e-219	0.747755726945094	0.66	0.217	1.03989904485067e-214	3	TcasGA2-TC009251	TcasGA2_TC009251	gnl|WGS:AAJJ|TC009251-PA	sro	shroud	TcasGA2-TC009251	CM000282.3	2487817	2489314	1498	-	D-beta-hydroxybutyrate dehydrogenase, mitochondrial-like Protein	7
TcasGA2-TC0145601	3.27326361973744e-218	1.01380955862781	0.995	0.63	3.46540419421603e-214	3	TcasGA2-TC014560	TcasGA2_TC014560	gnl|WGS:AAJJ|TC014560-PA	kto	kohtalo, isoform A	TcasGA2-TC014560	CM000280.3	11775461	11784011	8551	+	Mediator of RNA polymerase II transcription subunit 12-like Protein	5
TcasGA2-TC0126751	4.17152716406316e-218	0.666589461718389	0.727	0.249	4.41639580859366e-214	3	TcasGA2-TC012675	TcasGA2_TC012675	gnl|WGS:AAJJ|TC012675-PA	CG14079	uncharacterized protein Dmel_CG14079	TcasGA2-TC012675	CM000284.3	12999226	13003447	4222	+	hypothetical protein	9
TcasGA2-TC007587	5.23515439150849e-217	0.634466698809566	0.747	0.263	5.54245795429004e-213	3	TcasGA2-TC007587	TcasGA2_TC007587	gnl|WGS:AAJJ|TC007587-PA	TwdlS	TweedleS	TcasGA2-TC007587	CM000279.2	2757739	2758572	834	-	hypothetical protein	4
TcasGA2-TC0015581	1.10689397697365e-216	0.600246669194719	0.828	0.314	1.17186865342201e-212	3	TcasGA2-TC001558	TcasGA2_TC001558	gnl|WGS:AAJJ|TC001558-PA	Tom20	translocase of outer membrane 20, isoform B	TcasGA2-TC001558	CM000278.3	3468398	3469485	1088	+	Mitochondrial import receptor subunit TOM20 homolog-like Protein	3
TcasGA2-TC0126221	8.64236405341488e-216	0.764846282520932	0.52	0.142	9.14967082335033e-212	3	TcasGA2-TC012622	TcasGA2_TC012622	gnl|WGS:AAJJ|TC012622-PA	Nc73EF	neural conserved at 73EF, isoform F	TcasGA2-TC012622	CM000284.3	12220604	12223625	3022	+	putative 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial-like Protein	9
TcasGA2-TC0113731	1.34645298689962e-214	0.55952068941063	0.849	0.326	1.42548977723063e-210	3	TcasGA2-TC011373	TcasGA2_TC011373	gnl|WGS:AAJJ|TC011373-PA	RFeSP	rieske iron-sulfur protein, isoform D	TcasGA2-TC011373	KQ971410.1	317730	318412	683	+	Cytochrome b-c1 complex subunit Rieske, mitochondrial-like Protein	NA
TcasGA2-TC0101571	4.21244760411455e-214	0.649272551664593	0.81	0.304	4.45971827847607e-210	3	TcasGA2-TC010157	TcasGA2_TC010157	gnl|WGS:AAJJ|TC010157-PA	Scsalpha1	Succinyl-coenzyme A synthetase alpha subunit 1, isoform B	TcasGA2-TC010157	CM000282.3	13831580	13838415	6836	-	Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial-like Protein	7
TcasGA2-TC0154151	7.17746105182216e-214	0.602737324799918	0.803	0.296	7.59877801556412e-210	3	TcasGA2-TC015415	TcasGA2_TC015415	gnl|WGS:AAJJ|TC015415-PA	unc-119	unc-119, isoform C	TcasGA2-TC015415	CM000281.3	556861	559365	2505	+	Protein unc-119 homolog-like Protein	6
TcasGA2-TC0083341	8.8434230609167e-214	0.849454344882827	0.99	0.463	9.36253199459251e-210	3	TcasGA2-TC008334	TcasGA2_TC008334	gnl|WGS:AAJJ|TC008334-PA	CG8916	uncharacterized protein Dmel_CG8916, isoform B	TcasGA2-TC008334	CM000279.2	8673835	8691808	17974	+	cys-loop ligand-gated ion channel subunit	4
TcasGA2-TC0137771	2.0812666917348e-213	0.576876684343076	0.622	0.197	2.20343704653963e-209	3	TcasGA2-TC013777	TcasGA2_TC013777	gnl|WGS:AAJJ|TC013777-PA	ben	bendless, isoform B	TcasGA2-TC013777	CM000280.3	4423870	4424688	819	-	Ubiquitin-conjugating enzyme E2 N-like Protein	5
TcasGA2-TC0146111	8.29404754940637e-213	0.617769748880172	0.742	0.263	8.78090814055653e-209	3	TcasGA2-TC014611	TcasGA2_TC014611	gnl|WGS:AAJJ|TC014611-PA	CG3625	uncharacterized protein Dmel_CG3625, isoform B	TcasGA2-TC014611	CM000280.3	12363884	12364381	498	+	Androgen-dependent TFPI-regulating protein-like Protein	5
